Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Agent_number,Added_on,Updated_on
waterfront 3 bedroom apartment +bq + swimming pool + sauna + gym + underground parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,16100000,3,3,8124269637,21 Jan 2022,24 Feb 2022
3 bedroom flat,"Off Haruna, Colege Road Ogba Lagos",https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-off-haruna-colege-road-ogba-lagos-6GANL,Lagos,Ogba,1300000,3,3,8180249383,08 Feb 2022,24 Feb 2022
3 nos x 5 bedroom terrace houses + bq + security etc in banana island estate @n15m each,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-9FTHT,Lagos,Ikoyi,15000000,5,5,8124269637,02 Dec 2021,24 Feb 2022
newly built 2 bedrooms flat,"Sparklight Estate, Opposite Opic Estate Via Berger Berger Ojodu Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-sparklight-estate-opposite-opic-estate-via-berger-berger-ojodu-lagos-0FYXB,Lagos,Ojodu,800000,2,2,8180249383,27 Jan 2022,24 Feb 2022
newly built 4 bedroom maisonette,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-7FXLR,Lagos,Ikoyi,15000000,4,4,8124269637,16 Jan 2022,24 Feb 2022
luxury 3 bedroom apartment + bq,Victoria Island Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-victoria-island-lagos-8GBXN,Lagos,Island,15000000,3,3,8124269637,18 Feb 2022,24 Feb 2022
lovely 4 bedroom terrace duplex,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-2FXWY,Lagos,Lekki,6000000,4,4,8082163583,19 Jan 2022,24 Feb 2022
outstanding top floor 5 bedroom apartment on a whole floor + 2 rooms bq + pool+gym v.i.p. 3 cars slots etc @n20m x 2yrs,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/5-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-8FYHT,Lagos,Ikoyi,20000000,5,5,8124269637,23 Jan 2022,24 Feb 2022
mini flat,Off Assembly Close Off Oluwadare Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-assembly-close-off-oluwadare-yaba-lagos-5FZMN,Lagos,Yaba,500000,1,1,8180249383,01 Feb 2022,24 Feb 2022
decent mini flat,Mfm Side Onike Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-mfm-side-onike-yaba-lagos-4FZMQ,Lagos,Yaba,350000,1,1,8180249383,01 Feb 2022,24 Feb 2022
a clean & modern mini flat,Onitiri Estate Berger Ojodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-onitiri-estate-berger-ojodu-lagos-8FYXA,Lagos,Ojodu,400000,1,1,8180249383,27 Jan 2022,24 Feb 2022
newly renovated 5 units of room self contain,"Off Morrocco Road, Near Waec Building Yaba Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-morrocco-road-near-waec-building-yaba-lagos-1FZHX,Lagos,Yaba,350000,1,1,8180249383,31 Jan 2022,24 Feb 2022
premium newly built 3 bedroom apartment,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-8FYEX,Lagos,Ikoyi,12500000,3,3,8124269637,22 Jan 2022,24 Feb 2022
spacious mini flat,Akoka Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-akoka-yaba-lagos-7FZJA,Lagos,Yaba,500000,1,1,8180249383,31 Jan 2022,24 Feb 2022
3 bedroom apartment,Central Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-central-ikoyi-old-ikoyi-ikoyi-lagos-6FXRA,Lagos,Ikoyi,6000000,3,3,8124269637,18 Jan 2022,24 Feb 2022
three bedroom apartment with bq,Victoria Island Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-victoria-island-lagos-9FVNM,Lagos,Island,8000000,3,3,8028761350,25 Dec 2021,24 Feb 2022
palatial 3 bedroom apartment,Osapa London Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-osapa-london-lekki-lagos-0FYXA,Lagos,Lekki,3000000,3,3,8180249383,27 Jan 2022,24 Feb 2022
luxury 4 bedroom terraced duplex with a bq in an estate,Off Living Faith Katampe Main Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-off-living-faith-katampe-main-abuja-8GCRQ,Abuja,Main,7300000,4,5,8167426402,24 Feb 2022,24 Feb 2022
tastefully finished 4 bedroom terraced duplex with a bq,American International School Durumi Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-american-international-school-durumi-abuja-7GCRQ,Abuja,Durumi,6000000,4,5,8167426402,24 Feb 2022,24 Feb 2022
waterfront 3 bedroom apartment +bq + swimming pool + sauna + gym + underground parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,16100000,3,3,8124269637,21 Jan 2022,24 Feb 2022
tastefully finished 3 bedroom apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-7FZUF,Lagos,Lekki,4000000,3,3,8037939912,03 Feb 2022,24 Feb 2022
luxurious 4 bedroom duplex,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-2GAWC,Lagos,Lekki,6000000,4,4,8037939912,10 Feb 2022,24 Feb 2022
tastefully finished 3 bedroom terraced duplex with a bq,Apo Gudu Apo Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-apo-gudu-apo-abuja-5GCRQ,Abuja,Apo,5000000,3,4,8167426402,24 Feb 2022,24 Feb 2022
2 bedroom apartment in a serene environment,Life Camp Abuja,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-life-camp-abuja-2GCRQ,Abuja,Camp,3000000,2,3,8167426402,24 Feb 2022,24 Feb 2022
furnished 5 bedroom detached duplex with a bq,Maitama Extension Maitama Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-maitama-extension-maitama-abuja-9GCRP,Abuja,Maitama,15000000,5,6,8167426402,24 Feb 2022,24 Feb 2022
exquisitely finished and newly built 2bedroom flat,Fo1 Kubwa Abuja,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-fo1-kubwa-abuja-4GBDS,Abuja,Kubwa,1500000,2,2,8147562407,12 Feb 2022,24 Feb 2022
luxury finished and newly built 1bedroom flat,Fo1 Kubwa Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-fo1-kubwa-abuja-6GBDS,Abuja,Kubwa,1000000,1,1,8147562407,12 Feb 2022,24 Feb 2022
3 bedroom terrace duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-4FUXZ,Lagos,Lekki,40000000,3,3,8140215129,17 Dec 2021,24 Feb 2022
brand miniflat,Meiran Area Alagbado Abule Egba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-meiran-area-alagbado-abule-egba-lagos-3FXQM,Lagos,Egba,400000,1,1,8100078046,18 Jan 2022,24 Feb 2022
luxury 2 bedroom alone in the compound,Naf Valley Asokoro Abuja,https://www.propertypro.ng/property/2-bedroom-house-for-rent-naf-valley-asokoro-abuja-7GCRM,Abuja,Asokoro,4000000,2,3,8167426402,24 Feb 2022,24 Feb 2022
luxury 4 bedroom terraced duplex with 2 rooms bq,Asokoro Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-asokoro-abuja-3GCRM,Abuja,Asokoro,9500000,4,5,8167426402,24 Feb 2022,24 Feb 2022
brand new two bedrm flat with pop and water heater,Off Ajayi Road Ajayi Road Ogba Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-off-ajayi-road-ajayi-road-ogba-lagos-1GCRM,Lagos,Ogba,1000000,2,3,8100078046,24 Feb 2022,24 Feb 2022
newly rwnovated mini flat at oke aro,"13 Tony Adekoya Street, Arolambo Oke Aro Iju Lagos",https://www.propertypro.ng/property/flat-apartment-for-rent-13-tony-adekoya-street-arolambo-oke-aro-iju-lagos-0GCRM,Lagos,Iju,120000,1,1,9031799781,24 Feb 2022,24 Feb 2022
newly built 4 bedroom all rooms en suite semi detached duplex plus a room bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-9GCRL,Lagos,Lekki,8000000,4,4,8164687732,24 Feb 2022,24 Feb 2022
fully furnished 5 bedroom detached duplex,Osapa London Lekki Estate Osapa London Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-estate-osapa-london-lekki-lagos-4GBZY,Lagos,Lekki,12000000,5,5,7088623980,19 Feb 2022,23 Feb 2022
recently renovated city view 4 bedroom apartment + bq + gym + tennis court + squash + pool+gym etc in ocean parade banana island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,12000000,4,4,8124269637,23 Dec 2021,24 Feb 2022
office space with furniture and ac,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-co-working-space-for-rent-lekki-phase-1-lekki-lagos-4GCRK,Lagos,Lekki,1300000,1,1,8135540360,23 Feb 2022,23 Feb 2022
newly built mini flat (1 bedroom),Eleganza Gardens Opposite Vgc Vgc Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-eleganza-gardens-opposite-vgc-vgc-lekki-lagos-0FYHC,Lagos,Lekki,1500000,1,1,8181055075,23 Jan 2022,23 Feb 2022
a well built and maintained 4 bedroom terraced duplex,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-3GCRJ,Lagos,Lekki,6000000,4,4,7032060222,23 Feb 2022,23 Feb 2022
brand new 1 bedroom apartment,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-9GCRH,Lagos,Lekki,2000000,1,1,7032060222,23 Feb 2022,23 Feb 2022
3 bedroom apartment,Vgc Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-vgc-lekki-lagos-3GCRH,Lagos,Lekki,3000000,3,3,9093693039,23 Feb 2022,23 Feb 2022
luxury service 4 bedroom maisonette plus a bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-1GCRH,Lagos,Lekki,6000000,4,4,8164687732,23 Feb 2022,23 Feb 2022
2 bedroom apartment,Eleganza Gardens Opposite Vgc Vgc Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-eleganza-gardens-opposite-vgc-vgc-lekki-lagos-9GCJD,Lagos,Lekki,2000000,2,2,9093693039,22 Feb 2022,23 Feb 2022
5 bedroom detached duplex with bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-9GCRG,Lagos,Lekki,12000000,5,5,7032060222,23 Feb 2022,23 Feb 2022
a room in a shared 2bed apartment,Onike Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-onike-yaba-lagos-8GCQJ,Lagos,Yaba,350000,2,1,8106855223,23 Feb 2022,23 Feb 2022
2bedroom flat,Iyana Ipaja Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-iyana-ipaja-ipaja-lagos-0FXTF,Lagos,Ipaja,800000,2,3,8182073205,18 Jan 2022,23 Feb 2022
4 bedroom semi detached duplex with air conditioners,Chevron Alternative Road Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-alternative-road-chevron-lekki-lagos-4GCME,Lagos,Lekki,6000000,4,4,8033354125,22 Feb 2022,23 Feb 2022
newly built 4 bedroom terrace duplex with communal swimming pool is located in a secured and serviced mini estate.,Elegushi Ikate Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-elegushi-ikate-ikate-lekki-lagos-3FYJB,Lagos,Lekki,5000000,1,4,7065203121,23 Jan 2022,23 Feb 2022
2bedroom flat,Sabo Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-sabo-yaba-lagos-7FYXH,Lagos,Yaba,1100000,2,2,8182073205,27 Jan 2022,23 Feb 2022
mini flat at heritage estate aboru,Iyana Ipaja Ipaja Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-iyana-ipaja-ipaja-lagos-8FYXN,Lagos,Ipaja,300000,1,1,8182073205,27 Jan 2022,23 Feb 2022
mini flat,Bode Thomas Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-bode-thomas-surulere-lagos-3FYYS,Lagos,Surulere,850000,1,2,8182073205,27 Jan 2022,23 Feb 2022
newly built and tatsefully finished 3bedroom flat,Anifalaje Akobo Road 5 Akobo Ibadan Oyo,https://www.propertypro.ng/property/3-bedroom-house-for-rent-anifalaje-akobo-road-5-akobo-ibadan-oyo-3GCRF,Oyo,Ibadan,800000,3,3,9026318426,23 Feb 2022,23 Feb 2022
aroom self contain,Predo Shomolu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-predo-shomolu-lagos-5GAFH,Lagos,Shomolu,400000,1,1,8182073205,06 Feb 2022,23 Feb 2022
2 bedroom flat,Baruwa Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-baruwa-ipaja-lagos-1GAJK,Lagos,Ipaja,700000,2,3,8182073205,07 Feb 2022,23 Feb 2022
4 bedroom semi detached duplex with a room bq,Osapa London Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-osapa-london-lekki-lagos-3GCRE,Lagos,Lekki,6000000,4,4,7065203121,23 Feb 2022,23 Feb 2022
waterfront 3 bedroom apartment +bq + swimming pool + sauna + gym + underground parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,16100000,3,3,8124269637,21 Jan 2022,24 Feb 2022
3 bedroom flat,Peace Estate Baruwa Ipaja Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-peace-estate-baruwa-ipaja-lagos-1GBGL,Lagos,Ipaja,1000000,3,3,8182073205,14 Feb 2022,23 Feb 2022
fully serviced 2 bedroom apartment with 24hours power,Ikate Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-house-for-rent-ikate-lekki-lagos-1GCRF,Lagos,Lekki,2800000,4,2,7088150656,23 Feb 2022,23 Feb 2022
nicely built four bedroom duplex,Abijo Lekki Abijo Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-abijo-lekki-abijo-ajah-lagos-6GCHJ,Lagos,Ajah,1500000,3,4,9011819900,21 Feb 2022,23 Feb 2022
newly built three bedroom flat,Abijo Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-abijo-ajah-lagos-0GCDL,Lagos,Ajah,1100000,3,4,9011819900,20 Feb 2022,23 Feb 2022
3 bedroom,Awoyaya Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-awoyaya-ajah-lagos-2GCRE,Lagos,Ajah,800000,3,3,8153985682,23 Feb 2022,23 Feb 2022
2 bedroom house,Sangotedo Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-sangotedo-ajah-lagos-1GCRE,Lagos,Ajah,1200000,2,2,7088150656,23 Feb 2022,23 Feb 2022
2 bedrooms bungalow,Olokonla Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-olokonla-ajah-lagos-6GBNA,Lagos,Ajah,1000000,2,2,9090407416,15 Feb 2022,23 Feb 2022
mini flat,Fola Agoro Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-fola-agoro-yaba-lagos-5GCRB,Lagos,Yaba,750000,1,2,8182073205,23 Feb 2022,23 Feb 2022
mini flat,Iyana Ipaja Ipaja Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-iyana-ipaja-ipaja-lagos-1GCRB,Lagos,Ipaja,500000,1,1,8182073205,23 Feb 2022,23 Feb 2022
ultra luxury 2 bedroom apartment +bq+elevator+pool+gym,Eko Pearl Eko Atlantic Victoria Island Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-eko-pearl-eko-atlantic-victoria-island-lagos-3FHTY,Lagos,Island,750000,2,2,8124269637,10 Sep 2021,24 Feb 2022
well finished 3bedroom flat,Vio Mabushi Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-vio-mabushi-abuja-7GCRA,Abuja,Mabushi,1800000,3,4,8155321626,23 Feb 2022,23 Feb 2022
5 bedroom terrace duplex,Idado Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-idado-lekki-lagos-8GCQZ,Lagos,Lekki,4000000,5,5,7036738886,23 Feb 2022,23 Feb 2022
new and executive miniflat,Owolabi Street Off Lawal Street Alapere Alapere Kosofe Ikosi Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-owolabi-street-off-lawal-street-alapere-alapere-kosofe-ikosi-lagos-9GCQY,Lagos,Ikosi,700000,1,1,8096977288,23 Feb 2022,23 Feb 2022
spacious 3bedroom flat,Agungi Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-agungi-lekki-lagos-9GCQX,Lagos,Lekki,3200000,3,3,8037836842,23 Feb 2022,23 Feb 2022
executive brand new 3 bedroom flat,Isheri North Ojodu Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-isheri-north-ojodu-lagos-2GCQX,Lagos,Ojodu,1600000,3,4,9068622049,23 Feb 2022,23 Feb 2022
brand new mini flat,Ikota Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ikota-lekki-lagos-3GCQX,Lagos,Lekki,1500000,1,1,9051793930,23 Feb 2022,23 Feb 2022
newly built mini flat,Abule Ijesha Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-abule-ijesha-yaba-lagos-6GBLF,Lagos,Yaba,800000,1,1,8125135974,15 Feb 2022,23 Feb 2022
new and executive mini flat,Owolabi Street Off Lawal Street Oshpgun Alapere Alapere Kosofe Ikosi Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-owolabi-street-off-lawal-street-oshpgun-alapere-alapere-kosofe-ikosi-lagos-8GCQW,Lagos,Ikosi,750000,1,1,8096977288,23 Feb 2022,23 Feb 2022
mini flat,Oke Aro Bus Stop In Front Of Pimpus Hotel Iju Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-oke-aro-bus-stop-in-front-of-pimpus-hotel-iju-lagos-1FZGV,Lagos,Iju,200000,1,1,9031799781,31 Jan 2022,23 Feb 2022
3bedroom flat,Oshorun Heritage Estate Isheri North Ojodu Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-oshorun-heritage-estate-isheri-north-ojodu-lagos-3GCQW,Lagos,Ojodu,1600000,3,3,9039408141,23 Feb 2022,23 Feb 2022
executive roomslf contain,Owolabi Street Off Lawal Street Oshogun Alapere Alapere Kosofe Ikosi Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-owolabi-street-off-lawal-street-oshogun-alapere-alapere-kosofe-ikosi-lagos-1GCQW,Lagos,Ikosi,550000,1,1,8096977288,23 Feb 2022,23 Feb 2022
serviced mini flat,Agungi Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-agungi-lekki-lagos-6GCQV,Lagos,Lekki,1500000,1,1,9051793930,23 Feb 2022,23 Feb 2022
well finished 3bedroom flat,Wuye Wuye Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-wuye-wuye-abuja-4GCQV,Abuja,Wuye,2500000,3,4,8155321626,23 Feb 2022,23 Feb 2022
serviced 3bedroom apartment,Osapa Shoprite Road Jakande Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-osapa-shoprite-road-jakande-lekki-lagos-1GCQV,Lagos,Lekki,2500000,3,3,9051793930,23 Feb 2022,23 Feb 2022
newly renovated spacious 3bedroom,Off Cole Street Lawanson Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-off-cole-street-lawanson-surulere-lagos-7GCQU,Lagos,Surulere,1500000,3,3,7031867138,23 Feb 2022,23 Feb 2022
newly renovated and massive mini flat,Jibowu Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-jibowu-yaba-lagos-4GCQU,Lagos,Yaba,500000,1,1,8182343303,23 Feb 2022,23 Feb 2022
newly built 2bedrooms flats,Lasu Iba Ojo Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-lasu-iba-ojo-lagos-3GCQU,Lagos,Ojo,400000,2,2,8060795036,23 Feb 2022,23 Feb 2022
spacious en suite 3 bedroom flats,Off Park Road Ebute Metta Yaba Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-off-park-road-ebute-metta-yaba-lagos-7GCAX,Lagos,Yaba,1800000,3,3,9031134440,19 Feb 2022,23 Feb 2022
spacious 3 bedroom flat,Hughes Avenue Alagomeji Yaba Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-hughes-avenue-alagomeji-yaba-lagos-6GCQT,Lagos,Yaba,3000000,3,3,9031134440,23 Feb 2022,23 Feb 2022
4 bedrooms duplex + 2 bedrooms flat,"Alaba Street, Car Wash Bustop Oworo Oworonshoki Gbagada Lagos",https://www.propertypro.ng/property/4-bedroom-house-for-sale-alaba-street-car-wash-bustop-oworo-oworonshoki-gbagada-lagos-1EUMZ,Lagos,Gbagada,18000000,4,4,8050606090,05 Jun 2021,24 Feb 2022
2 bedroom,Apteck Estate Sangotedo Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-apteck-estate-sangotedo-ajah-lagos-2GCQT,Lagos,Ajah,1500000,2,2,8153985682,23 Feb 2022,23 Feb 2022
newly built one bedroom flat,Dogongada Village Lokogoma Abuja,https://www.propertypro.ng/property/1-bedroom-house-for-rent-dogongada-village-lokogoma-abuja-7GCQS,Abuja,Lokogoma,400000,1,1,7062047199,23 Feb 2022,23 Feb 2022
decent 3 bedroom flat,Victoria Street Ogudu Road Ojota Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-street-ogudu-road-ojota-lagos-5GCQS,Lagos,Ojota,800000,3,2,8147741800,23 Feb 2022,23 Feb 2022
spacious 2 bedroom apartment,Eleganza Gardens Vgc Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-eleganza-gardens-vgc-lekki-lagos-2GCQS,Lagos,Lekki,2000000,2,2,8059625502,23 Feb 2022,23 Feb 2022
executive mini flat,Off Ilupeju Road Ilupeju Ikorodu Road(ilupeju) Ilupeju Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-ilupeju-road-ilupeju-ikorodu-roadilupeju-ilupeju-lagos-0GCQS,Lagos,Ilupeju,700000,1,1,8182030653,23 Feb 2022,23 Feb 2022
mini flat,Ikate Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ikate-lekki-lagos-9GCQR,Lagos,Lekki,1800000,1,1,9043135508,23 Feb 2022,23 Feb 2022
